Loandra,SATLike,LinSBPS2018,sls-mcs,sls-mcs-lsu,Open-WBO-g,Open-WBO-ms
0.7946,0.808,0.8286,1,0.7393,0.4157,0.5374
0.55,0.5134,0.5135,1,0.8454,0.4138,0.5211
0.2514,0.2728,0.2743,1,0.4348,0.1686,0.332
1,0.429,0.4456,0.7211,0.3141,0.1211,0.3275
1,0.9844,1,1,1,0.9545,0.9643
0.9908,0.9643,0.9,0.9908,1,0.75,0.7013
0.9561,0.9899,0.9751,0.9899,1,0.8522,0.8991
0.9672,0.9219,0.9516,1,0.9833,0.8194,0.7973
0.9545,0.8873,0.9403,1,1,0.759,0.7412
0.9786,0.9799,0.8204,1,1,0.8431,0.8393
0.9825,0.9799,0.8204,1,1,0.8461,0.8422
0.9444,0.9084,0.7677,1,1,0.5833,0.5409
0.9249,0.9249,0.7086,1,1,0.6006,0.5988
0.8519,0.8466,0.738,1,1,0.4452,0.4083
0.8634,0.9171,0.6996,1,1,0.5206,0.526
0.8571,0.8136,0.7385,1,1,0.4079,0.381
0.9561,0.9775,0.8047,1,0.9996,0.8305,0.8374
0.9476,0.8969,0.8453,1,1,0.5199,0.4017
0.894,0.9068,0.7107,1,0.9961,0.5542,0.5332
0.9516,0.9516,0.8082,1,1,0.6941,0.6082
0.8528,0.9439,0.6411,1,1,0.6411,0.6516
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0.521,0.521,0,0,0.521,0.478
0.8555,0.2334,0.2954,1,1,0.3737,0.4077
1,0.9733,0.9865,0.9733,0.8902,0.4562,0.2246
1,0.4426,0.6828,0,0,0.0845,0.142
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,0.9167,0.9167
1,1,1,1,1,1,0.9444
1,1,0.9167,1,1,0.9167,0.7857
1,1,0.9688,1,1,0.9688,0.8611
0.9756,1,1,1,1,0.9302,0.8333
1,1,1,1,1,0.9273,0.8226
0.9683,1,1,1,1,0.8026,0.6162
0.9157,1,0.987,1,1,0.9048,0.6179
0.901,1,0.9479,1,1,0.9479,0.7
0.9091,1,0.8333,1,1,0.3125,0.3333
0.64,1,0.8421,1,1,0.1975,0.3721
0.7576,1,0.7353,1,1,0.2137,0.3676
1,1,1,1,1,1,1
1,1,1,0.6897,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0.8889,1,1
1,1,1,1,0.875,1,1
1,1,1,0.75,1,1,1
1,1,1,0.4348,0.5263,1,1
1,1,1,0.32,0.4706,1,1
1,1,1,0.4615,0.4286,1,1
1,1,1,0.2857,0.5,1,1
1,1,1,0.6667,0.5,1,1
1,0.7306,0.9143,0.724,0.724,0.9697,0.9467
1,0.4113,0.9444,0.2615,0.2615,0.7286,0.7846
1,0.8718,0.9876,0.8655,0.8914,1,0.9558
0.9841,0.5254,1,0.3605,0.3605,0.6596,0.8052
0.9688,0.5345,1,0.5536,0.6327,1,0.8378
1,0.0606,0.0465,0.1176,0.1176,0.0217,0.0556
0.0476,1,0.0047,1,1,0.0047,0.0043
0.0014,1,0.0012,1,1,0.0012,0.0051
0.0763,0.2813,0.0122,0.1915,0.1915,1,0.0143
0.0467,0.14,0.014,0.1707,0.1707,0.1892,1
1,0.1343,0.1111,0.9,0.9,0.0124,0.0098
0.7342,0.6824,0.6824,1,1,0.6444,0.5321
0.8529,0.9029,0.8529,1,1,0.7838,0.8544
0.6667,0.6667,1,1,1,0.0142,0.0073
0.0084,0.825,0.0091,1,1,0.0091,0.0391
0.0329,0.9153,0.0268,1,1,0.0268,0.0776
0.3619,0,0.0824,1,1,0.3551,0.2249
0.9913,0,0.9913,1,1,0.9424,0.9913
